from_node_id,to_node_id,amount
10812,1,77.0
10859,1,7140.0
10925,1,675.0
10956,1,1810.0
10958,1,13.0
10963,1,9810.0
11020,1,298.0
11023,1,25.0
11028,1,151.0
11072,1,3500.0
11162,1,7390.0
11175,1,22800.0
11260,1,8.7
11317,1,10300.0
11355,1,4750.0
11466,1,609.0
11477,1,2310.0
11626,1,17200.0
11653,1,1400.0
11655,1,5.0
11726,1,1.0
11801,1,725.0
11817,1,1400.0
11847,1,5.0
11988,1,595.0
12026,1,1.54
12063,1,14400.0
12071,1,12200.0
12121,1,8830.0
12223,1,10900.0
12241,1,7370.0
12279,1,6130.0
12306,1,146.0
12461,1,14800.0
12477,1,17200.0
12485,1,4470.0
12487,1,1430.0
12492,1,122.0
12525,1,1890.0
12567,1,10000.0
12612,1,31.0
